"Gene","Analysis.ID","Relatedness","adjusted_expression"
"Vasp","F2Mm_Rep7","50",9.84899119940665
"Vasp","F2Mm_Rep8","50",10.9178726357142
"LOC102915842","F1Fc_Rep1","0",0.26568885264062
"LOC102915842","F1Fc_Rep2","0",0.231317470066378
"LOC102915842","F1Fc_Rep3","0",0.298428405130229
"LOC102915842","F1Fc_Rep4","0",0.180512307042987
"LOC102915842","F1Fc_Rep5","0",0.39111515632283
"LOC102915842","F1Fc_Rep6","0",0.211820679123848
"LOC102915842","F1Fc_Rep7","0",0.317045208009398
"LOC102915842","F1Fc_Rep8","0",0.623844015480461
"LOC102915842","F1Fm_Rep1","0",0.652142479763273
"LOC102915842","F1Fm_Rep2","0",0.539382576384432
"LOC102915842","F1Fm_Rep3","0",-0.0404967872479311
"LOC102915842","F1Fm_Rep4","0",0.342295960097028
"LOC102915842","F1Fm_Rep5","0",0.254330574421537
"LOC102915842","F1Fm_Rep6","0",0.279931577548986
"LOC102915842","F1Fm_Rep7","0",0.369352229127451
"LOC102915842","F1Fm_Rep8","0",0.697222134151844
"LOC102915842","F1Mc_Rep1","0",0.188072729779601
"LOC102915842","F1Mc_Rep2","0",0.204058713287121
"LOC102915842","F1Mc_Rep3","0",0.461935787975876
"LOC102915842","F1Mc_Rep4","0",0.272593133744
"LOC102915842","F1Mc_Rep5","0",0.401536163974759
"LOC102915842","F1Mc_Rep6","0",0.366362207610862
"LOC102915842","F1Mc_Rep7","0",0.419575999865941
"LOC102915842","F1Mc_Rep8","0",0.213614561481303
"LOC102915842","F1Mm_Rep1","0",0.207788532787184
"LOC102915842","F1Mm_Rep2","0",1.3477838206508
"LOC102915842","F1Mm_Rep3","0",0.0751339464030494
"LOC102915842","F1Mm_Rep4","0",0.391651945788143
"LOC102915842","F1Mm_Rep5","0",0.300382521067643
"LOC102915842","F1Mm_Rep6","0",0.891762737933046
"LOC102915842","F1Mm_Rep7","0",0.00709140128268848
"LOC102915842","F1Mm_Rep8","0",0.204099615528413
"LOC102915842","F2Fc_Rep1","50",0.128888585434634
"LOC102915842","F2Fc_Rep2","50",0.350812749526443
"LOC102915842","F2Fc_Rep3","50",0.183980643058776
"LOC102915842","F2Fc_Rep4","50",0.0765465078254448
"LOC102915842","F2Fc_Rep5","50",0.161064865675946
"LOC102915842","F2Fc_Rep7","50",0.186887664516009
"LOC102915842","F2Fc_Rep8","50",0.238793771919483
"LOC102915842","F2Fm_Rep1","50",-0.0646521340182976
"LOC102915842","F2Fm_Rep2","50",0.284021422926594
"LOC102915842","F2Fm_Rep3","50",0.130717164103042
"LOC102915842","F2Fm_Rep4","50",0.0130432043204444
"LOC102915842","F2Fm_Rep5","50",-0.0871989927317262
"LOC102915842","F2Fm_Rep6","50",0.636136311859278
"LOC102915842","F2Fm_Rep7","50",-0.0306957614797773
"LOC102915842","F2Fm_Rep8","50",0.151345399763768
"LOC102915842","F2Mc_Rep1","50",0.19459345267244
"LOC102915842","F2Mc_Rep2","50",0.121030834854936
"LOC102915842","F2Mc_Rep3","50",0.241847867318861
